trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,area_error,area_error_abs,d,dt,reproduced_period,temporal_error
141,592.673,906.385,333,0,0,4,1,0,1,vft_matiasherrera,3.259542946712721e-05,-3.1931268579499186e-05,0.0921978084573377,1.406316791,313.712,19.28800000000001
142,464.43800000000005,821.617,333,0,0,4,1,0,1,vft_matiasherrera,-2.114458400137902e-05,-2.921402714747005e-05,0.08136331177620745,1.3215202689999999,357.1789999999999,-24.178999999999917
143,430.20099999999996,765.4,333,0,0,4,1,0,1,vft_matiasherrera,6.199566142937597e-05,-6.25356391202013e-05,0.08177413453296804,1.265333584,335.199,-2.1990000000000123
144,526.925,883.8810000000001,333,0,0,4,1,0,1,vft_matiasherrera,0.00010810429519977148,-0.00011597582734198321,0.08160517428491645,1.3838125419999998,356.95600000000013,-23.95600000000013
145,388.994,745.6410000000001,333,0,0,4,1,0,1,vft_matiasherrera,1.5968202485444356e-05,-3.282977084165685e-05,0.07956184332883481,1.2456002099999999,356.64700000000005,-23.647000000000048
146,421.18800000000005,795.118,333,0,0,4,1,0,1,vft_matiasherrera,0.0001305249300510265,-0.000130533461644974,0.07866569438179327,1.295069025,373.93,-40.93000000000001
147,479.181,788.6389999999999,333,0,0,4,1,0,1,vft_matiasherrera,4.512416818571772e-05,-4.529656237052504e-05,0.08361637775841428,1.288570154,309.4579999999999,23.542000000000087
148,459.184,776.8889999999999,333,0,0,4,1,0,1,vft_matiasherrera,0.0001930670884294087,-0.00019306713071830998,0.08567814782515071,1.276820149,317.70499999999987,15.29500000000013
149,428.14,749.096,333,0,0,4,1,0,1,vft_matiasherrera,0.00012291049361270253,-0.0001228871757796574,0.08370281085834083,1.24894749,320.956,12.043999999999983
150,364.70099999999996,644.41,333,0,0,4,1,0,1,vft_matiasherrera,9.894171338140789e-05,-9.903226661821645e-05,0.08537444286513193,1.144378316,279.709,53.291
151,506.664,872.1139999999999,333,0,0,4,1,0,1,vft_matiasherrera,0.0002348296257998865,-0.0002350803134092528,0.08128129968143274,1.37204018,365.44999999999993,-32.44999999999993
152,443.939,774.138,333,0,0,4,1,0,1,vft_matiasherrera,0.00011981348616611851,-0.00012372745934409538,0.08405311490028086,1.2740601520000001,330.199,2.8009999999999877
